         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      761    0.001    0.000    0.004    0.000 /usr/lib/python3.10/asyncio/queues.py:59(_wakeup_next)
       48    0.000    0.000    0.004    0.000 /home/wolverine/bin/running/calculatorp3.py:653(ack_market_state)
       50    0.000    0.000    0.004    0.000 /home/wolverine/bin/running/calculatorp3.py:127(send_json)
        1    0.000    0.000    0.004    0.004 /home/wolverine/bin/running/pycaitlyn.py:7112(load)
      265    0.001    0.000    0.004    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/overrides.py:142(decorator)
        1    0.004    0.004    0.004    0.004 {built-in method _pycaitlyn.IndexSchema_load}
        1    0.000    0.000    0.004    0.004 /home/wolverine/bin/running/pycaitlyn.py:7135(update_schema_from_binary)
        1    0.004    0.004    0.004    0.004 {built-in method _pycaitlyn.IndexSerializer_update_schema_from_binary}
      101    0.000    0.000    0.004    0.000 /usr/lib/python3.10/asyncio/futures.py:309(_set_result_unless_cancelled)
       50    0.000    0.000    0.004    0.000 /home/wolverine/bin/running/calculatorp3.py:186(_forward_json)
       21    0.000    0.000    0.004    0.000 /home/wolverine/bin/running/calculator3.py:924(__logic_on_market_open)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/traceback.py:489(__init__)
